#Overview of data in ClinVar by gene, dated March 2, 2020
#Symbol	GeneID	Total_submissions	Total_alleles	Submissions_reporting_this_gene	Alleles_reported_Pathogenic_Likely_pathogenic	Gene_MIM_number	Number_uncertain	Number_with_conflicts
CACNA2D2	9254	260	241	250	13	607082	102	1
CACNA2D3	55799	34	34	4	1	606399	10	0
CACNA2D3-AS1	100874237	5	5	-	-	-	1	0
CACNA2D4	93589	320	247	236	10	608171	97	18
CACNB1	782	16	16	3	-	114207	4	0
CACNB2	783	523	356	493	3	600003	166	31
CACNB3	784	15	15	1	-	601958	4	0
CACNB4	785	372	206	355	2	601949	93	9
CACNG1	786	16	16	-	-	114209	1	0
CACNG2	10369	41	39	9	1	602911	11	0
CACNG3	10368	27	27	-	-	606403	4	0
CACNG4	27092	18	18	-	-	606404	1	0
CACNG5	27091	19	19	1	-	606405	2	0
CACNG6	59285	19	19	-	-	606898	1	0
CACNG7	59284	23	23	-	-	606899	5	0
CACNG8	59283	22	22	-	-	606900	4	0
CACTIN	58509	22	22	-	-	618536	4	0
CACTIN-AS1	404665	11	11	-	-	-	1	0
CACUL1	143384	25	25	-	1	618764	-	-
CACYBP	27101	28	28	2	-	606186	-	-
CAD	790	154	139	119	9	114010	30	1
CADM1	23705	29	29	14	1	605686	4	0
CADM2	253559	42	42	4	1	609938	14	0
CADM2-AS1	100874038	8	8	-	-	-	3	0
CADM2-AS2	100874037	8	8	-	-	-	3	0
CADM3	57863	9	9	1	-	609743	2	0
CADM3-AS1	100131825	2	2	-	-	-	-	-
CADM4	199731	9	9	-	-	609744	1	0
CADPS	8618	26	26	9	-	604667	4	0
CADPS2	93664	49	49	20	-	609978	6	0
CAGE1	285782	39	39	-	-	608304	4	0
CAHM	100526820	19	19	-	-	615930	3	0
CALB1	793	30	30	2	-	114050	1	0
CALB2	794	33	33	-	-	114051	8	0
CALCA	796	20	20	3	-	114130	5	0
CALCB	797	17	17	-	-	114160	5	0
CALCOCO1	57658	11	11	-	1	-	1	0
CALCOCO2	10241	15	15	-	-	604587	3	0
CALCR	799	24	24	6	-	114131	4	0
CALCRL	10203	30	30	3	2	114190	4	0
CALD1	800	44	44	12	1	114213	2	0
CALHM1	255022	24	24	2	1	612234	3	0
CALHM2	51063	23	23	-	-	612235	3	0
CALHM3	119395	21	21	-	-	618263	2	0
CALHM4	221301	23	23	-	-	-	2	0
CALHM5	254228	23	23	-	-	-	2	0
CALHM6	441168	23	23	-	-	617305	2	0
CALM1	801	78	60	63	11	114180	4	1
CALM2	805	83	67	63	9	114182	10	3
CALM3	808	59	52	45	8	114183	9	0
CALML3	810	35	35	-	-	114184	5	0
CALML3-AS1	100132159	35	35	-	-	-	5	0
CALML4	91860	15	15	1	-	-	-	-
CALML5	51806	34	34	-	-	605183	4	0
CALML6	163688	131	129	3	-	610171	11	0
CALN1	83698	49	49	2	4	607176	15	0
CALR	811	29	28	10	1	109091	2	0
CALR3	125972	163	103	145	-	611414	46	4
CALU	813	27	27	1	1	603420	2	0
CALY	50632	89	89	-	-	604647	13	0
CAMK1	8536	46	45	-	-	604998	6	0
CAMK1D	57118	32	32	3	3	607957	3	0
CAMK1G	57172	16	16	-	-	614994	1	0
CAMK2A	815	37	30	24	14	114078	1	0
CAMK2B	816	56	45	21	7	607707	5	0
CAMK2D	817	18	18	4	-	607708	2	0
CAMK2G	818	26	25	4	1	602123	3	0
CAMK2N1	55450	16	16	-	1	614986	4	0
CAMK2N2	94032	34	34	-	-	608721	2	0
CAMK4	814	41	40	5	2	114080	8	1
CAMKK1	84254	37	37	-	-	611411	7	0
CAMKK2	10645	23	23	7	-	615002	2	0
CAMKMT	79823	31	31	3	1	609559	8	0
CAMKV	79012	8	8	-	-	614993	-	-
CAMLG	819	18	18	-	-	601118	1	0
CAMP	820	13	13	3	-	600474	2	0
CAMSAP1	157922	64	63	6	-	613774	4	0
CAMSAP2	23271	16	16	3	-	613775	4	0
CAMSAP3	57662	15	15	6	-	612685	3	0
CAMTA1	23261	207	202	124	45	611501	28	1
CAMTA1-AS1	101928836	22	22	-	-	-	2	0
CAMTA1-AS2	102725193	21	21	-	-	-	2	0
CAMTA1-DT	110841581	24	24	-	-	-	1	0
CAMTA1-IT1	100874340	21	21	-	-	-	2	0
CAMTA2	23125	33	33	5	-	611508	6	0
CAND1	55832	10	10	1	-	607727	1	0
CAND1.11	100130460	5	5	-	-	-	1	0
CAND2	23066	32	32	5	-	610403	8	0
CANT1	124583	148	132	121	21	613165	58	2
CANX	821	37	37	-	-	114217	8	0
CAP1	10487	13	13	2	-	617801	2	0
CAP2	10486	28	28	-	2	618385	3	0
CAPG	822	19	19	4	-	153615	2	0
CAPN1	823	40	39	33	9	114220	3	0
CAPN10	11132	112	111	27	-	605286	4	0
CAPN10-DT	101752400	47	47	-	-	-	1	0
CAPN11	11131	15	15	3	-	604822	-	-
CAPN12	147968	24	24	15	-	608839	1	0
CAPN13	92291	18	18	-	-	610228	2	0
CAPN14	440854	23	23	2	-	610229	4	0
CAPN15	6650	72	72	3	-	603267	9	0
CAPN2	824	26	26	6	-	114230	1	0
CAPN3	825	1244	672	1228	198	114240	283	67
CAPN5	726	34	32	23	3	602537	5	0
CAPN6	827	161	157	2	-	300146	6	0
CAPN7	23473	22	22	-	-	606400	1	0
CAPN8	388743	19	19	-	-	618777	-	-
CAPN9	10753	32	32	-	1	606401	7	0
CAPNS1	826	14	14	-	-	114170	4	0
CAPNS2	84290	20	20	-	1	616767	4	0
CAPRIN1	4076	22	22	-	-	601178	3	0
CAPRIN2	65981	34	34	6	-	610375	2	0
CAPS	828	13	13	2	-	114212	1	0
CAPS2	84698	20	20	4	1	607724	4	0
CAPSL	133690	19	19	1	-	-	1	0
CAPZA1	829	15	15	1	-	601580	5	0
CAPZA2	830	25	25	-	-	601571	4	0
CAPZA3	93661	33	33	-	-	608722	1	0
CAPZB	832	18	18	-	-	601572	5	0
CARD10	29775	36	35	10	-	607209	3	0
CARD11	84433	277	248	216	13	607210	93	6
CARD11-AS1	101927256	23	21	-	-	-	2	0
CARD14	79092	261	240	231	16	607211	98	1
CARD16	114769	23	23	1	-	615680	1	0
CARD17	440068	21	21	1	1	609490	1	0
CARD18	59082	19	19	-	-	605354	1	0
CARD19	84270	31	30	-	-	617726	2	0
CARD6	84674	22	22	5	-	609986	1	0
CARD8	22900	18	18	7	-	609051	2	0
CARD8-AS1	100505812	4	4	-	1	-	-	-
CARD9	64170	196	172	137	9	607212	52	12
CARF	79800	27	27	8	-	607586	-	-
CARHSP1	23589	52	52	-	-	616885	30	0
CARM1	10498	15	15	2	2	603934	-	-
CARMIL1	55604	11	11	-	-	609593	2	0
CARMIL2	146206	58	52	23	12	610859	9	0
CARMIL3	90668	20	20	-	-	614716	1	0
CARMN	728264	4	4	-	-	-	-	-
CARNMT1	138199	43	42	1	-	616552	3	0
CARNMT1-AS1	101927380	42	41	-	-	-	3	0
CARNS1	57571	15	15	-	-	613368	3	0
CARS1	833	35	35	13	-	123859	1	0
CARS1-AS1	100852407	15	15	-	-	-	1	0
CARS2	79587	286	261	191	6	612800	61	0
CARTPT	9607	13	13	3	-	602606	3	0
CASC1	55259	39	38	-	1	616906	4	0
CASC11	100270680	22	22	-	-	617704	-	-
CASC15	401237	3	3	-	1	616610	-	-
CASC16	643714	7	7	-	-	-	3	0
CASC17	101928165	7	7	-	-	-	1	0
CASC18	101929110	6	6	-	-	-	2	0
CASC19	103021165	22	22	-	-	617703	-	-
CASC2	255082	25	25	-	-	608598	1	0
CASC20	101929244	12	12	-	-	-	1	0
CASC21	103021164	22	22	-	-	617702	-	-
CASC22	283854	11	11	-	-	-	3	0
CASC23	103581031	4	4	-	-	-	1	0
CASC3	22794	10	10	-	-	606504	-	-
CASC6	101929083	11	11	-	-	-	4	0
CASC8	727677	22	22	-	-	617701	-	-
CASC9	101805492	15	15	-	-	-	1	0
CASD1	64921	222	177	-	56	611686	62	0
CASK	8573	481	395	300	108	300172	61	18
CASKIN1	57524	53	53	-	-	612184	10	0
CASKIN2	57513	18	18	1	-	612185	3	0
CASP1	834	27	27	6	-	147678	1	0
CASP10	843	189	167	160	5	601762	66	5
CASP12	100506742	23	22	3	-	608633	1	0
CASP14	23581	21	20	9	-	605848	2	0
CASP2	835	49	49	6	-	600639	2	0
CASP3	836	101	101	3	-	600636	6	0
CASP4	837	23	23	3	-	602664	1	0
CASP5	838	21	21	-	1	602665	1	0
CASP6	839	11	11	-	-	601532	1	0
CASP7	840	29	29	1	-	601761	2	0
CASP8	841	102	92	78	3	601763	33	3
CASP8AP2	9994	19	19	-	-	606880	3	0
CASP9	842	34	34	5	-	602234	3	0
CASQ1	844	40	39	26	3	114250	9	1
CASQ2	845	501	273	483	27	114251	99	14
CASR	846	1065	745	1041	115	601199	375	23
CASS4	57091	22	22	6	-	-	1	0
CAST	831	43	43	18	3	114090	5	0
CASTOR1	652968	25	24	-	-	617034	2	0
CASTOR2	729438	31	31	-	1	617033	2	0
CASTOR3	352954	34	33	-	7	-	3	0
CASZ1	54897	76	76	33	3	609895	6	0
CAT	847	54	54	26	4	115500	4	0
CATIP	375307	21	21	-	1	-	2	0
CATIP-AS1	101928513	7	7	-	-	-	-	-
CATIP-AS2	103689911	155	127	-	1	-	54	0
CATSPER1	117144	67	59	59	2	606389	31	5
CATSPER2	117155	93	88	12	7	607249	16	0
CATSPER3	347732	19	19	1	-	609120	2	0
CATSPER4	378807	11	11	4	-	609121	1	0
CATSPERB	79820	17	17	-	-	611169	-	-
CATSPERD	257062	14	14	-	-	617490	2	0
CATSPERE	257044	86	86	1	4	617510	4	0
CATSPERG	57828	9	9	-	-	613452	1	0
CATSPERZ	25858	6	6	-	-	617511	-	-
CAV1	857	67	58	43	7	601047	6	1
CAV2	858	25	25	1	-	601048	2	0
CAV3	859	603	249	557	22	601253	73	24
CAVIN1	284119	77	64	68	9	603198	23	4
CAVIN2	8436	24	24	3	-	606728	-	-
CAVIN2-AS1	105373813	10	10	-	-	-	-	-
CAVIN3	112464	20	20	-	-	618303	3	0
CAVIN4	347273	90	76	57	-	617714	13	0
CBARP	255057	35	35	-	1	-	4	0
CBFA2T2	9139	14	14	1	-	603672	2	0
CBFA2T3	863	72	72	2	-	603870	11	0
CBFB	865	34	34	-	1	121360	9	0
CBL	867	660	489	624	24	165360	227	18
CBLB	868	36	35	5	-	604491	-	-
CBLC	23624	11	11	1	-	608453	3	0
CBLIF	2694	73	53	68	7	609342	16	5
CBLL1	79872	18	18	-	-	606872	1	0
CBLL2	158506	165	161	4	-	-	5	0
CBLN1	869	21	21	-	-	600432	4	0
CBLN2	147381	122	120	-	1	600433	6	0
CBLN3	643866	19	19	-	-	612978	-	-
CBLN4	140689	13	13	-	-	615029	1	0
CBR1	873	62	57	2	-	114830	4	0
CBR3	874	73	68	2	-	603608	3	0
CBR3-AS1	100506428	43	38	-	-	-	1	0
CBR4	84869	200	183	-	1	-	85	0
CBS	875	903	551	820	92	613381	154	32
CBWD1	55871	33	33	1	2	611078	2	0
CBWD2	150472	10	10	-	-	611079	-	-
CBWD3	445571	38	37	-	2	611080	-	-
CBWD5	220869	43	42	-	-	-	-	-
CBWD6	644019	40	39	-	-	-	-	-
CBWD7	728013	44	43	-	-	-	-	-
CBX1	10951	9	9	-	-	604511	-	-
CBX2	84733	38	36	17	2	602770	3	0
CBX3	11335	30	30	-	-	604477	3	0
CBX4	8535	23	23	2	-	603079	2	0
CBX5	23468	8	8	-	-	604478	-	-
CBX6	23466	25	24	1	-	617438	3	0
CBX7	23492	20	19	1	-	608457	4	0
CBX8	57332	21	21	-	-	617354	2	0
CBY1	25776	26	25	1	1	607757	5	0
CBY2	220082	43	43	-	-	618614	1	0
CBY3	646019	37	37	-	-	-	8	0
CC2D1A	54862	201	139	180	4	610055	56	14
CC2D1B	200014	11	11	4	-	-	1	0
CC2D2A	57545	841	476	793	92	612013	211	50
CC2D2B	387707	16	16	-	-	-	1	0
CCAR1	55749	18	18	-	-	612569	2	0
CCAR2	57805	78	78	9	-	607359	2	0
CCAT1	100507056	22	22	-	-	617705	-	-
CCAT2	101805488	22	22	-	-	-	-	-
CCBE1	147372	250	226	181	7	612753	101	5
CCDC102A	92922	23	23	-	-	-	6	0
CCDC102B	79839	142	138	5	7	-	9	0
CCDC103	388389	99	73	88	4	614677	36	1
CCDC105	126402	12	12	-	-	-	2	0
CCDC106	29903	26	26	-	-	613478	7	0
CCDC107	203260	68	66	-	-	-	3	0
CCDC110	256309	121	121	-	-	609488	14	0
CCDC112	153733	30	30	5	-	-	1	0
CCDC113	29070	23	23	-	-	616070	6	0
CCDC114	93233	196	157	186	9	615038	54	2
CCDC115	84317	49	47	10	3	613734	21	0
CCDC116	164592	96	92	8	-	-	13	0
CCDC117	150275	27	26	-	-	-	3	0
CCDC12	151903	13	13	-	1	-	4	0
CCDC120	90060	162	158	2	-	300947	4	0
CCDC121	79635	12	12	-	-	-	-	-
CCDC122	160857	40	40	-	-	613408	-	-
CCDC124	115098	10	10	-	-	-	-	-
CCDC125	202243	17	17	-	-	613781	4	0
CCDC126	90693	30	30	-	1	-	-	-
CCDC127	133957	128	128	-	-	-	7	0
CCDC13	152206	7	7	-	-	-	-	-
CCDC130	81576	17	17	-	-	-	3	0
CCDC134	79879	26	25	1	1	618788	5	0
CCDC136	64753	34	34	8	-	611902	2	0
CCDC137	339230	24	24	-	-	614271	2	0
CCDC138	165055	35	35	-	-	-	17	0
CCDC14	64770	17	17	-	1	617147	2	0
CCDC140	151278	43	36	-	3	-	4	0
CCDC141	285025	61	60	35	1	616031	2	0
CCDC142	84865	13	13	-	-	-	1	0
CCDC144A	9720	68	68	-	26	-	3	0
CCDC144NL-AS1	440416	6	6	-	1	-	3	0
CCDC146	57639	24	24	-	-	-	2	0
CCDC148	130940	31	31	12	3	-	3	0
CCDC148-AS1	554201	12	12	-	1	-	2	0
CCDC149	91050	27	27	-	-	-	-	-
CCDC15	80071	58	58	3	-	-	3	0
CCDC150	284992	28	28	-	-	-	3	0
CCDC151	115948	96	90	77	9	615956	32	0
CCDC152	100129792	24	24	-	-	-	6	0
CCDC153	283152	28	28	-	-	-	2	0
CCDC154	645811	45	45	-	-	618740	3	0
CCDC157	550631	26	25	-	-	-	3	0
CCDC158	339965	17	17	-	-	-	3	0
CCDC159	126075	11	11	-	-	-	1	0
CCDC160	347475	171	167	1	-	-	5	0
CCDC163	126661	7	7	-	-	-	4	0
CCDC166	100130274	49	49	-	-	-	3	0
CCDC167	154467	7	7	-	-	-	-	-
CCDC168	643677	83	84	12	-	-	5	0
CCDC169	728591	38	38	-	-	-	1	0
CCDC169-SOHLH2	100526761	38	38	-	-	-	1	0
CCDC17	149483	20	20	-	-	-	10	0
CCDC170	80129	29	29	10	3	-	6	0
CCDC171	203238	99	97	4	-	-	1	0
CCDC172	374355	26	26	-	-	-	-	-
CCDC173	129881	18	18	-	-	-	3	0
CCDC174	51244	42	41	22	1	616735	-	-
CCDC175	729665	13	13	-	-	-	3	0
CCDC177	56936	16	16	-	-	-	-	-
CCDC178	374864	45	43	-	2	-	1	0
CCDC179	100500938	21	21	-	-	-	6	0
CCDC18	343099	14	14	4	-	-	1	0
CCDC18-AS1	100131564	2	2	-	-	-	-	-
CCDC180	100499483	33	32	1	-	-	1	0
CCDC181	57821	17	17	-	-	-	1	0
CCDC182	101927581	5	5	-	-	-	-	-
CCDC183	84960	56	55	-	-	615955	-	-
CCDC183-AS1	100131193	28	27	-	-	-	-	-
CCDC184	387856	9	9	-	-	-	1	0
CCDC185	164127	20	20	-	-	-	-	-
CCDC186	55088	27	27	2	-	-	-	-
CCDC187	399693	27	26	-	-	-	1	0
CCDC188	388849	190	172	-	-	-	7	0
CCDC189	90835	29	29	-	-	618318	14	0
CCDC190	339512	15	15	1	-	-	1	0
CCDC191	57577	25	25	-	-	-	1	0
CCDC192	728586	7	7	-	-	-	-	-
CCDC194	110806280	6	6	-	-	-	2	0
CCDC196	440184	7	7	-	-	-	3	0
CCDC197	256369	9	9	-	-	-	-	-
CCDC198	55195	12	12	1	-	-	1	0
CCDC200	100874261	7	7	-	-	-	4	0
CCDC22	28952	231	209	74	2	300859	21	5
CCDC24	149473	13	13	-	-	-	3	0
CCDC25	55246	61	61	-	-	-	2	0
CCDC26	137196	22	22	-	-	613040	-	-
CCDC27	148870	91	91	1	-	-	5	0
CCDC28A	25901	11	11	-	-	615353	-	-
CCDC28A-AS1	100507462	3	3	-	-	-	-	-
CCDC28B	79140	21	19	7	-	610162	6	0
CCDC3	83643	28	28	2	-	-	2	0
CCDC30	728621	17	17	-	4	-	2	0
CCDC32	90416	9	9	-	-	-	-	-
CCDC33	80125	34	34	1	-	618525	4	0
CCDC34	91057	21	21	-	-	612324	1	0
CCDC36	339834	8	8	-	-	-	1	0
CCDC37-DT	100506907	7	7	-	-	-	2	0
CCDC38	120935	8	8	-	-	-	-	-
CCDC39	339829	338	240	314	39	613798	87	21
CCDC40	55036	540	346	515	35	613799	121	27
CCDC42	146849	15	15	-	-	-	4	0
CCDC43	124808	12	12	-	-	-	1	0
CCDC47	57003	24	20	10	4	618260	1	0
CCDC50	152137	144	100	99	1	611051	20	2
CCDC51	79714	11	11	3	-	618585	1	0
CCDC54	84692	16	16	-	-	-	2	0
CCDC57	284001	31	31	-	-	-	3	0
CCDC58	131076	17	17	-	-	-	1	0
CCDC59	29080	15	15	-	-	-	3	0
CCDC6	8030	16	16	3	1	601985	1	0
CCDC60	160777	13	13	-	-	-	1	0
CCDC61	729440	15	15	1	-	-	4	0
CCDC62	84660	20	20	2	-	613481	3	0
CCDC63	160762	11	11	-	-	617969	-	-
CCDC65	85478	76	69	64	4	611088	24	0
CCDC66	285331	12	12	2	-	-	2	0
CCDC68	80323	55	53	-	-	616909	1	0
CCDC69	26112	13	13	-	-	-	-	-
CCDC7	79741	12	12	-	1	-	2	0
CCDC70	83446	49	49	-	-	-	4	0
CCDC71	64925	8	8	-	-	-	1	0
CCDC71L	168455	19	19	1	-	-	2	0
CCDC73	493860	25	25	-	1	612328	1	0
CCDC74A	90557	29	29	-	-	-	5	0
CCDC74B	91409	29	29	-	-	-	12	0
CCDC77	84318	68	68	-	1	-	9	0
CCDC78	124093	233	208	164	2	614666	85	4
CCDC8	83987	32	31	22	2	614145	1	0
CCDC80	151887	30	30	5	1	608298	2	0
CCDC81	60494	20	20	-	-	-	6	0
CCDC82	79780	14	14	1	1	-	-	-
CCDC83	220047	22	22	-	-	-	7	0
CCDC84	338657	28	28	1	-	-	2	0
CCDC85A	114800	17	17	-	-	-	2	0
CCDC85B	11007	9	9	-	-	605360	2	0
CCDC85C	317762	38	38	-	-	-	1	0
CCDC86	79080	7	7	-	-	611293	1	0
CCDC87	55231	9	9	-	-	-	1	0
CCDC88A	55704	53	53	38	1	609736	6	0
CCDC88B	283234	7	7	1	-	611205	-	-
CCDC88C	440193	235	185	203	6	611204	39	12
CCDC89	220388	23	23	-	-	-	5	0
CCDC9	26093	15	15	-	-	-	3	0
CCDC90B	60492	14	14	-	-	-	2	0
CCDC91	55297	29	29	2	2	617366	1	0
CCDC92	80212	20	20	-	-	-	2	0
CCDC92B	101928991	24	24	-	2	-	-	-
CCDC93	54520	14	14	-	-	-	1	0
CCDC96	257236	64	64	-	-	-	1	0
CCDC97	90324	7	7	-	-	-	-	-
CCDC9B	388115	9	9	-	-	-	-	-
CCEPR	105682749	5	5	-	-	-	-	-
CCER1	196477	15	15	-	-	-	6	0
CCER2	643669	2	2	-	-	617634	-	-
CCHCR1	54535	11	11	2	-	605310	2	0
CCIN	881	67	65	1	-	603960	2	0
CCK	885	9	9	-	-	118440	2	0
CCKAR	886	29	29	3	-	118444	-	-
CCKBR	887	21	21	2	1	118445	3	0
CCL1	6346	16	16	-	-	182281	8	0
CCL11	6356	20	20	3	-	601156	9	0
CCL13	6357	16	16	-	-	601391	8	0
CCL14	6358	9	9	-	1	601392	2	0
CCL15	6359	9	9	-	-	601393	2	0
CCL15-CCL14	348249	1	1	-	1	-	-	-
CCL16	6360	8	8	-	-	601394	2	0
CCL17	6361	23	23	1	-	601520	5	0
CCL18	6362	12	12	-	-	603757	2	0
CCL19	6363	68	66	-	-	602227	3	0
CCL2	6347	23	20	6	1	158105	9	0
CCL20	6364	21	21	1	-	601960	-	-
CCL21	6366	69	67	1	-	602737	3	0
CCL22	6367	23	23	1	-	602957	5	0
CCL23	6368	10	10	1	-	602494	3	0
CCL24	6369	36	36	-	-	602495	12	0
CCL25	6370	8	8	1	-	602565	-	-
CCL26	10344	38	38	1	-	604697	13	0
CCL27	10850	69	67	1	-	604833	3	0
CCL28	56477	19	19	-	-	605240	2	0
CCL3	6348	12	12	-	-	182283	2	0
CCL3L1	6349	27	26	-	-	601395	-	-
CCL3L3	414062	39	38	-	-	609468	-	-
CCL4	6351	17	17	-	-	182284	2	0
CCL4L1	388372	27	26	-	-	603782	-	-
CCL4L2	9560	40	39	-	-	610757	-	-
CCL5	6352	11	11	2	2	187011	2	0
CCL7	6354	17	17	-	-	158106	9	0
CCL8	6355	21	21	6	-	602283	7	0
CCM2	83605	190	141	162	48	607929	15	1
CCM2L	140706	15	15	-	1	-	1	0
CCN1	3491	19	19	2	-	602369	3	0
CCN2	1490	22	22	6	-	121009	2	0
CCN3	4856	47	47	3	-	164958	4	0
CCN4	8840	53	53	7	-	603398	4	0
CCN5	8839	9	9	2	-	603399	-	-
CCN6	8838	76	59	56	18	603400	7	4
CCNA1	8900	45	45	6	-	604036	1	0
CCNA2	890	25	25	5	-	123835	5	0
CCNB1	891	16	16	-	-	123836	4	0
CCNB1IP1	57820	22	22	-	-	608249	2	0
CCNB2	9133	19	19	4	-	602755	1	0
CCNB3	85417	165	161	9	3	300456	1	0
CCNC	892	21	21	1	-	123838	5	0
CCND1	595	12	10	5	-	168461	1	0
CCND2	894	92	82	35	9	123833	4	0
CCND2-AS1	103752584	23	23	-	-	-	-	-
CCND3	896	12	12	2	-	123834	-	-
CCNDBP1	23582	17	17	-	-	607089	6	0
CCNE1	898	15	15	-	-	123837	3	0
CCNE2	9134	31	31	-	-	603775	-	-
CCNF	899	70	60	35	1	600227	9	1
CCNG1	900	25	25	-	-	601578	3	0
CCNG2	901	20	20	4	-	603203	2	0
CCNH	902	261	203	4	58	601953	54	0
CCNI	10983	16	16	-	-	618783	2	0
CCNI2	645121	17	17	-	-	-	2	0
CCNJ	54619	14	14	-	-	-	-	-
CCNJL	79616	20	20	-	-	-	1	0
CCNK	8812	30	30	5	1	603544	1	0
CCNL1	57018	13	13	-	-	613384	-	-
CCNL2	81669	126	124	-	-	613482	10	0
CCNO	10309	89	77	74	16	607752	24	1
CCNP	79935	9	9	-	-	-	-	-
CCNQ	92002	224	220	19	8	300708	10	0
CCNT1	904	13	13	-	-	143055	3	0
CCNT2	905	14	14	1	-	603862	3	0
CCNT2-AS1	100129961	2	2	-	-	-	-	-
CCNY	219771	18	18	-	-	612786	6	0
CCNYL1	151195	18	18	-	-	-	1	0
CCNYL3	642326	18	18	-	-	-	3	0
CCP110	9738	27	27	10	-	609544	3	0
CCPG1	9236	19	19	-	-	611326	2	0
CCR1	1230	19	19	10	-	601159	-	-
CCR10	2826	11	11	3	-	600240	1	0
CCR2	729230	13	13	6	-	601267	2	0
CCR3	1232	9	9	-	-	601268	-	-
CCR4	1233	13	13	-	-	604836	-	-
CCR5	1234	21	15	14	1	601373	0	1
CCR5AS	102724297	15	9	-	1	-	-	-
CCR6	1235	44	44	3	-	601835	1	0
CCR7	1236	11	11	1	-	600242	-	-
CCR8	1237	11	11	-	-	601834	-	-
CCR9	10803	11	11	1	-	604738	2	0
CCRL2	9034	8	8	1	-	608379	-	-
CCS	9973	10	10	1	-	603864	2	0
CCSAP	126731	26	26	-	-	616762	2	0
CCSER1	401145	63	63	2	2	-	10	0
CCSER2	54462	38	38	-	1	-	8	0
CCT2	10576	14	14	2	-	605139	2	0
CCT3	7203	16	16	1	-	600114	4	0
CCT4	10575	21	21	-	-	605142	4	0
CCT5	22948	199	184	107	1	610150	51	3
CCT6A	908	26	26	-	-	104613	8	0
CCT6B	10693	10	10	1	-	610730	3	0
CCT7	10574	11	11	1	1	605140	1	0
CCT8	10694	60	55	1	-	617786	4	0
CCT8L2	150160	48	48	1	1	-	5	0
CCZ1	51622	58	58	2	-	-	9	0
CCZ1B	221960	35	35	-	-	-	3	0
CD101	9398	21	21	9	-	604516	1	0
CD109	135228	30	30	18	-	608859	3	0
CD14	929	19	19	2	-	158120	2	0
CD151	977	38	38	5	1	602243	3	0
CD160	11126	201	197	1	1	604463	57	0
CD163	9332	52	52	11	-	605545	2	0
CD163L1	283316	44	44	1	-	606079	4	0
CD164	8763	32	29	13	1	603356	2	0
CD164L2	388611	11	11	-	-	-	3	0
CD177	57126	20	20	4	-	162860	6	0
CD180	4064	22	22	6	-	602226	4	0
CD19	930	183	165	68	8	107265	44	5
CD1A	909	10	10	3	-	188370	-	-
CD1B	910	15	15	3	-	188360	-	-
CD1C	911	12	12	5	-	188340	-	-
CD1D	912	9	9	2	-	188410	-	-
CD1E	913	10	10	3	-	188411	-	-
CD2	914	15	15	2	-	186990	3	0
CD2-LCR	107126361	5	5	-	-	-	1	0
CD200	4345	17	17	-	-	155970	2	0
CD200R1	131450	26	26	-	-	607546	2	0
CD200R1L	344807	25	25	-	-	-	2	0
CD200R1L-AS1	100129297	14	14	-	-	-	-	-
CD207	50489	15	15	4	1	604862	3	0
CD209	30835	17	15	9	-	604672	2	0
CD22	933	24	24	8	-	107266	5	0
CD226	10666	114	112	-	-	605397	2	0
CD24	100133941	6	6	-	-	600074	-	-
CD244	51744	18	18	4	-	605554	4	0
CD247	919	52	50	37	8	186780	12	0
CD248	57124	24	24	13	-	606064	3	0
CD27	939	71	71	30	5	186711	14	0
CD27-AS1	678655	44	44	-	5	-	13	0
CD274	29126	145	143	2	-	605402	2	0
CD276	80381	34	34	4	-	605715	1	0
CD28	940	21	21	1	-	186760	2	0
CD2AP	23607	153	133	137	3	604241	61	1
CD2BP2	10421	18	18	-	-	604470	3	0
CD2BP2-DT	101928707	6	6	-	-	-	-	-
CD300A	11314	29	27	-	-	606790	1	0
CD300C	10871	30	28	-	-	606786	1	0
CD300E	342510	29	27	-	-	609801	1	0
CD300H	100130520	12	10	-	-	616560	-	-
CD300LB	124599	29	27	-	-	610705	1	0
CD300LD	100131439	29	27	-	-	616301	1	0
CD300LF	146722	20	20	-	-	609807	1	0
CD300LG	146894	15	15	-	-	610520	5	0
CD302	9936	16	16	-	-	612246	2	0
CD320	51293	51	40	43	-	606475	10	1
CD33	945	23	23	9	-	159590	2	0
CD34	947	17	17	1	-	142230	1	0
CD36	948	124	113	83	30	173510	48	1
CD37	951	12	12	3	-	151523	2	0
CD38	952	43	43	3	-	107270	2	0
CD3D	915	68	64	44	4	186790	23	0
CD3E	916	82	67	58	4	186830	20	4
CD3EAP	10849	16	12	3	-	107325	2	1
CD3G	917	71	65	46	4	186740	22	3
CD4	920	55	54	12	-	186940	3	1
CD40	958	60	50	52	5	109535	18	1
CD40LG	959	271	251	94	44	300386	15	3
CD44	960	55	55	32	-	107269	8	0
CD46	4179	69	65	52	7	120920	26	1
CD47	961	16	16	-	-	601028	2	0
CD48	962	14	14	3	-	109530	1	0
CD5	921	8	8	-	-	153340	1	0
CD52	1043	8	8	-	-	114280	2	0
CD53	963	13	13	-	-	151525	-	-
CD55	1604	31	30	14	7	125240	1	0
CD58	965	10	10	-	-	153420	-	-
CD59	966	34	34	11	4	107271	4	0
CD5L	922	10	10	-	-	602592	2	0
CD6	923	9	9	1	-	186720	1	0
CD63	967	12	11	4	-	155740	2	0
CD68	968	25	25	7	-	153634	2	0
CD69	969	34	34	1	-	107273	-	-
